NAME,ADDRESS,TINH,CITY
BHX 98/1A Lê Lợi,"98/1A Lê Lợi, ấp Dân Thắng 2, Xã Tân Thới Nhì, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 6 Đường Số 40,"6 đường số 40, khu phố 8, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 201 Gò Xoài,"201 Gò Xoài, P. Bình Hưng Hòa A, Q. Bình Tân (Cách chợ Ấp Chiến Lược 250m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 574 SINCO,"574/26 Hẻm Sinco, khu phố 4, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 22/5 Phan Văn Hớn,"22/5 Phan Văn Hớn, Xã Xuân Thới Thượng, H. Hóc Môn",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 170 Trịnh Thị Miếng,"170 Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 633 Phạm Văn Bạch,"633 Phạm Văn Bạch, P. 15, Q. Tân Bình",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 46 Tên Lửa,"46-48-50-52 Tên Lửa, Khu phố 01, Phường An Lạc A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 171 Hà Đặc,"171 Hà Đặc, Khu Phố 01, P.Trung Mỹ Tây, Q. 12",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 69 Đường Số 15,"69 Đường Số 15, Khu Phố 10, P. Bình Hưng Hòa, Q. Bình Tân",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 363 Lê Trọng Tấn,"363 Lê Trọng Tấn, P. Sơn Kỳ, Q. Tân Phú",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 4423 Nguyễn Cửu Phú,"4423 Nguyễn Cửu Phú, Khu phố 4, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 223 Liên Khu 4-5,"223 Liên Khu 4 - 5, Khu phố 5, P. Bình Hưng Hòa B, Q. Bình Tân",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 216 Kênh 19 Tháng 5,"216 Kênh 19 tháng 5, P. Tây Thạnh, Q. Tân Phú",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 3 Sơn Kỳ,"03 Sơn Kỳ, P. Sơn Kỳ, Q. Tân Phú",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 39/11A Tân Thới Nhất 1,"39/11A Tân Thới Nhất 1, Khu Phố 7, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 514C Nguyễn Văn Tạo,"514C Nguyễn Văn Tạo, Ấp 1, Xã Long Thới, Huyện Nhà Bè, Thành Phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX A3/38 Liên Ấp 123,"A3/38 Liên Ấp 123, Xã Vĩnh Lộc A, H. Bình Chánh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 4/5K Đông Thạnh,"4/5K , Ấp 1, Xã Đông Thạnh, Huyện Hóc Môn, Thành Phố Hồ Chí Minh ., Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 265/54 Trường Chinh,"265/54 Trường Chinh, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 845 Hà Huy Giáp,"845 Hà Huy Giáp, P. Thạnh Xuân , Q. 12",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX D13/43 Đường 18B,"D13/43 Đường 18B, Ấp 4, X. Bình Chánh, H. Bình Chánh (Ngay chợ Bình Chánh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 11 Miếu Gò Xoài,"11 Miếu Gò Xoài, KP. 12, P. Bình Hưng Hòa A, Q. Bình Tân (Cách ngã 3 Miếu Gò Xoài - Đường số 14 140m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 287 Phan Anh,"287 Phan Anh, khu phố 4, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 79 Cầu Xéo,"79 Cầu Xéo, P. Tân Quý, Q. Tân Phú (Ngay ngã 3 Cầu Xéo - Gò Dầu",TP. Hồ Chí Minh,TP. HO CHI MINH
